반영,ID,사이트명,설명,수량,최대대여일,상태,사유,경고,분류,위치,원본이름,원본사이즈,원본수량,원본처리방안,내부메모_비고,내부메모_의견
X,Y26-011,엄마수업,,4,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,엄마수업,,4,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-012,기도,,1,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,기도,,1,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-013,우리말 사랑,,1,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,우리말 사랑,,1,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-014,도서(독립운동가 백용성),,4,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,도서(독립운동가 백용성),,4,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-015,도서(참자유),,4,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,도서(참자유),,4,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-016,도서(가족),,2,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,도서(가족),,2,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-017,도서(방황해도 괜찮아),,2,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,도서(방황해도 괜찮아),,2,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-018,도서(지금 여기 깨어있기),,12,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,도서(지금 여기 깨어있기),,12,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-019,부루마블,,6,7,active,처리방안 확정(용인) — 대여 대상 아님,내부메모있음,청년행사,정토회관,부루마블,,6,용인,,망가질 것 같으면 필요한 타지부 조사 후 이관
X,Y26-020,현수막 백일출가 행자결집 (백일출가 행자결집),,1,7,active,처리방안 확정(행자원 이관) — 대여 대상 아님,행분리필요(이름에 여러 줄),행자원/불대/경전대,정토회관,"현수막 백일출가 행자결집
(백일출가 행자결집)",,1,행자원 이관,,
X,Y26-021,백일출가 깃발 (101 출가),,1,7,active,처리방안 확정(행자원 이관) — 대여 대상 아님,,행자원/불대/경전대,정토회관,백일출가 깃발 (101 출가),,1,행자원 이관,,
X,Y26-022,백일출가 작은 깃발 (101 출가),,1,7,active,처리방안 확정(행자원 이관) — 대여 대상 아님,,행자원/불대/경전대,정토회관,백일출가 작은 깃발 (101 출가),,1,행자원 이관,,
X,Y26-023,백일출가 기수깃발 (1~33기),,1,7,active,처리방안 확정(행자원 이관) — 대여 대상 아님,,행자원/불대/경전대,정토회관,백일출가 기수깃발 (1~33기),,1,행자원 이관,,
X,Y26-024,JTS 판넬 ( 아픈 사람은 치료 받아야 합니다 ),,3,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 판넬 ( 아픈 사람은 치료 받아야 합니다 ),,3,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-025,JTS 판넬 ( 배고픈 사람은 먹어야 합니다 1 ),,2,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 판넬 ( 배고픈 사람은 먹어야 합니다 1 ),,2,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-026,JTS 판넬 ( 배고픈 사람은 먹어야 합니다 2 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 판넬 ( 배고픈 사람은 먹어야 합니다 2 ),,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-027,JTS 판넬 ( 지구촌 아이들의 엄마가 되어주세요 ),,2,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,"이름중복, 내부메모있음",JTS,정토회관,JTS 판넬 ( 지구촌 아이들의 엄마가 되어주세요 ),,2,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-028,"JTS 판넬 ( 똑똑 어르신, JTS입니다 )",,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,"JTS 판넬 ( 똑똑 어르신, JTS입니다 )",,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-029,JTS 판넬 ( 영양 팡팡 꾸러미 ),,5,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 판넬 ( 영양 팡팡 꾸러미 ),,5,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-030,JTS 판넬 ( 방글라데시 로힝야 난민촌 가스버너 20만대 지원 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 판넬 ( 방글라데시 로힝야 난민촌 가스버너 20만대 지원 ),,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-031,JTS 판넬 ( 아이들은 제때에 배워야 합니다 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,"이름중복, 내부메모있음",JTS,정토회관,JTS 판넬 ( 아이들은 제때에 배워야 합니다 ),,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-032,JTS 판넬 ( 파키스탄&튀르키예 긴급구호 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 판넬 ( 파키스탄&튀르키예 긴급구호 ),,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-033,JTS 판넬 ( 지구촌 아이들의 엄마가 되어주세요 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,"이름중복, 내부메모있음",JTS,정토회관,JTS 판넬 ( 지구촌 아이들의 엄마가 되어주세요 ),,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-034,JTS 판넬 ( 아이들은 제때에 배워야 합니다 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,"이름중복, 내부메모있음",JTS,정토회관,JTS 판넬 ( 아이들은 제때에 배워야 합니다 ),,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-035,JTS 하트 판넬,,4,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 하트 판넬,,4,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-036,JTS 판넬 ( 연탄으로 추위를 녹여요 1 / 2 ),,6,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,"행분리필요(이름에 여러 줄), 옵션혼합(수량 안분 확인), 내부메모있음",JTS,정토회관,"JTS 판넬
( 연탄으로 추위를 녹여요 1 / 2 )",,3 / 3,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-037,JTS 플라스틱 포장상자,,5,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 플라스틱 포장상자,,5,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-038,영양꾸러미 장바구니 (中),,22,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,영양꾸러미 장바구니 (中),,22,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-039,영양꾸러미 장바구니 (大),,10,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,영양꾸러미 장바구니 (大),,10,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-040,JTS 거리캠페인 어깨띠,,40,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS 거리캠페인 어깨띠,,40,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-041,JTS 현수막 ( 굶주리는 지구촌 아이들이 엄마가 되어주세요 1 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,"행분리필요(이름에 여러 줄), 내부메모있음",JTS,정토회관,"JTS 현수막 
( 굶주리는 지구촌 아이들이 엄마가 되어주세요 1 )",,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-042,JTS 현수막 ( 굶주리는 지구촌 아이들이 엄마가 되어주세요 2 ),,1,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,"행분리필요(이름에 여러 줄), 내부메모있음",JTS,정토회관,"JTS 현수막 
( 굶주리는 지구촌 아이들이 엄마가 되어주세요 2 )",,1,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-043,"JTS 조끼(하늘색,L,XL,2XL)",,25,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,"JTS 조끼(하늘색,L,XL,2XL)",,1 / 4 / 20,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
X,Y26-044,JTS판넬(우리가 함께 여는 아름다운 세상),,2,7,active,처리방안 확정(JTS 이관) — 대여 대상 아님,내부메모있음,JTS,정토회관,JTS판넬(우리가 함께 여는 아름다운 세상),,2,JTS 이관,,"의논을 통해 개인 보관 (차량/집), 어려우면 용인 창고 보관"
보류,Y26-045,모포,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,모포,,,,,
보류,Y26-046,소독 에탄올,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,소독 에탄올,,,,,
보류,Y26-047,장엄물,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,장엄물,,,,,
보류,Y26-048,재봉틀,,,7,active,수량 미확정 — total_qty 확정 후 반영,"수량미확정, 내부메모있음",군전법,정토회관,재봉틀,,,,용도 확인 필요,
보류,Y26-049,소감문,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,소감문,,,,,
보류,Y26-050,현수막,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,현수막,,,,,
보류,Y26-051,멀티탭,,,7,active,수량 미확정 — total_qty 확정 후 반영,"이름중복, 수량미확정",군전법,정토회관,멀티탭,,,,,
보류,Y26-052,얇은이불,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,얇은이불,,,,,
보류,Y26-053,찻잔세트,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,찻잔세트,,,,,
보류,Y26-054,수건,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,수건,,,,,
보류,Y26-055,손수건,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,손수건,,,,,
보류,Y26-056,휴지,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,휴지,,,,,
보류,Y26-057,기도포,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,기도포,,,,,
보류,Y26-058,법복조끼,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,법복조끼,,,,,
보류,Y26-059,포스트잇,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,포스트잇,,,,,
보류,Y26-060,색종이,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,색종이,,,,,
보류,Y26-061,전기포트,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,전기포트,,,,,
보류,Y26-062,토치,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,토치,,,,,
보류,Y26-063,레크레이션 물품,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,레크레이션 물품,,,,,
보류,Y26-064,비상약,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,비상약,,,,,
보류,Y26-065,볼펜,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,볼펜,,,,,
보류,Y26-066,건전지,,,7,active,수량 미확정 — total_qty 확정 후 반영,"이름중복, 수량미확정",군전법,정토회관,건전지,,,,,
보류,Y26-067,명찰,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,명찰,,,,,
보류,Y26-068,분무기,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,분무기,,,,,
보류,Y26-069,나무 받침대,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,나무 받침대,,,,,
보류,Y26-070,탁상시계,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,군전법,정토회관,탁상시계,,,,,
O,Y26-071,부처님 사진,,7,7,active,,,만배/불교,정토회관,부처님 사진,,7,,,
O,Y26-072,염주,,90,7,active,,,만배/불교,정토회관,염주,,90,,,
O,Y26-073,싱잉볼,,1,7,active,,,만배/불교,정토회관,싱잉볼,,1,,,
O,Y26-074,인도 전통사리,,1,7,active,,,만배/불교,정토회관,인도 전통사리,,1,,,
O,Y26-075,싸인펜(10색),,1,7,active,,,사무용품,정토회관,싸인펜(10색),,1,,,
O,Y26-076,싸인펜(11색),,1,7,active,,,사무용품,정토회관,싸인펜(11색),,1,,,
O,Y26-077,색연필(12색),,1,7,active,,,사무용품,정토회관,색연필(12색),,1,,,
O,Y26-078,모나미 칼라펜(12색),,1,7,active,,,사무용품,정토회관,모나미 칼라펜(12색),,1,,,
O,Y26-079,테이프,,1,7,active,,,사무용품,정토회관,테이프,,1,,,
보류,Y26-080,파일철 및 서류철,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,사무용품,정토회관,파일철 및 서류철,,,,,
O,Y26-081,"편지지,편지봉투",,1,7,active,,,사무용품,정토회관,"편지지,편지봉투",,1,,,
보류,Y26-082,건전지,,,7,active,수량 미확정 — total_qty 확정 후 반영,"이름중복, 수량미확정",소모품,정토회관,건전지,,,,,
O,Y26-083,신발주머니,,37,7,active,,,소모품,정토회관,신발주머니,,37,,,
O,Y26-084,아일렛펀치,,1,7,active,,,소모품,정토회관,아일렛펀치,,1,,,
O,Y26-085,아일렛,단위: 봉지,1,7,active,,단위있음,소모품,정토회관,아일렛,,1봉지,,,
O,Y26-086,테이프데크,,1,7,active,,,소모품,정토회관,테이프데크,,1,,,
보류,Y26-087,"물티슈 2개, 곽티슈 6개",,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,소모품,정토회관,"물티슈 2개, 곽티슈 6개",,,,,
O,Y26-088,현수막 끈,,1,7,active,,,소모품,정토회관,현수막 끈,,1,,,
보류,Y26-089,보자기 꾸러미 보관함,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,소모품,정토회관,보자기 꾸러미 보관함,,,,,
O,Y26-090,상장케이스 미사용품 ( 남색 / 분홍색 ),,7,7,active,,옵션혼합(수량 안분 확인),소모품,정토회관,상장케이스 미사용품 ( 남색 / 분홍색 ),,5 / 2,,,
O,Y26-091,패브릭 마카 (8색),규격: 8색,12,7,active,,,소모품,정토회관,패브릭 마카,8색,12,,,
O,Y26-092,간편한 일회용 대나무 젓가락 (15개),규격: 15개,1,7,active,,,소모품,정토회관,간편한 일회용 대나무 젓가락,15개,1,,,
O,Y26-093,간편한 일회용 대나무 스푼 (15개),규격: 15개,1,7,active,,,소모품,정토회관,간편한 일회용 대나무 스푼,15개,1,,,
O,Y26-094,일회용 물티슈,,4,7,active,,,소모품,정토회관,일회용 물티슈,,4,,,
O,Y26-095,셀카봉,,1,7,active,,,소모품,정토회관,셀카봉,,1,,,
O,Y26-096,밴프 코펠 세트 3-4인용 CE521 (혼합색상),규격: 혼합색상,1,7,active,,,스포츠/등산,정토회관,밴프 코펠 세트 3-4인용 CE521,혼합색상,1,,,
O,Y26-097,에리파이어 알파인 버너 / 캠핑 백패킹 등산 차박 휴대 용 미니 강염 가스 원버너,,1,7,active,,옵션혼합(수량 안분 확인),스포츠/등산,정토회관,에리파이어 알파인 버너 / 캠핑 백패킹 등산 차박 휴대 용 미니 강염 가스 원버너,,1,,,
O,Y26-098,다이소 도시락통 (750ml),규격: 750ml,2,7,active,,,스포츠/등산,정토회관,다이소 도시락통,750ml,2,,,
O,Y26-099,청년대학생정토회 조끼 (녹회색) (XL),규격: XL,35,7,active,,이름중복,역사기행,정토회관,청년대학생정토회 조끼 (녹회색),XL,35,,,
O,Y26-100,청년대학생정토회 조끼 (녹회색) (2XL),규격: 2XL,31,7,active,,이름중복,역사기행,정토회관,청년대학생정토회 조끼 (녹회색),2XL,31,,,
O,Y26-101,청년대학생정토회 조끼 (민트색) (M),규격: M,1,7,active,,이름중복,역사기행,정토회관,청년대학생정토회 조끼 (민트색),M,1,,,
O,Y26-102,청년대학생정토회 조끼 (민트색) (XL),규격: XL,3,7,active,,이름중복,역사기행,정토회관,청년대학생정토회 조끼 (민트색),XL,3,,,
O,Y26-103,청년대학생정토회 조끼 (민트색) (2XL),규격: 2XL,42,7,active,,이름중복,역사기행,정토회관,청년대학생정토회 조끼 (민트색),2XL,42,,,
O,Y26-104,정토 PRESS 남색 조끼 (규격 사이즈 몇?),규격: 사이즈 몇?,4,7,active,,사이즈불명,역사기행,정토회관,정토 PRESS 남색 조끼,사이즈 몇?,4,,,
O,Y26-105,카키색 조끼 (2XL),규격: 2XL,54,7,active,,,역사기행,정토회관,카키색 조끼 (2XL),2XL,54,,,
O,Y26-106,연두색 스탭조끼 (L),규격: L,50,7,active,,이름중복,역사기행,정토회관,연두색 스탭조끼,L,50,,,
O,Y26-107,연두색 스탭조끼 (XL),규격: XL,29,7,active,,이름중복,역사기행,정토회관,연두색 스탭조끼,XL,29,,,
O,Y26-108,연두색 스탭조끼 (2XL),규격: 2XL,10,7,active,,이름중복,역사기행,정토회관,연두색 스탭조끼,2XL,10,,,
O,Y26-109,연두색 스탭조끼 (3XL),규격: 3XL,10,7,active,,이름중복,역사기행,정토회관,연두색 스탭조끼,3XL,10,,,
O,Y26-110,청년대학생정토회 먹색 조끼 (L),규격: L,37,7,active,,,역사기행,정토회관,청년대학생정토회 먹색 조끼,L,37,,,
O,Y26-111,수신기,단위: 개,77,7,active,,단위있음,역사기행,정토회관,수신기,,77개,,,
O,Y26-112,송수신기,,38,7,active,,,역사기행,정토회관,송수신기,,38,,,
O,Y26-113,불량 수신기,,7,7,repair,수리중(repair) 상태로 반영,불량→수리중 확인,역사기행,정토회관,불량 수신기,,7,,,
O,Y26-114,이어폰,,92,7,active,,,역사기행,정토회관,이어폰,,92,,,
O,Y26-115,이어마이크,,43,7,active,,,역사기행,정토회관,이어마이크,,43,,,
O,Y26-116,녹음기,,2,7,active,,,역사기행,정토회관,녹음기,,2,,,
O,Y26-117,여권케이스,,107,7,active,,,역사기행,정토회관,여권케이스,,107,,,
O,Y26-118,우의,,9,7,active,,,역사기행,정토회관,우의,,9,,,
O,Y26-119,현수막 역사학교 (내가 역사다!),,1,7,active,,,역사기행,정토회관,현수막 역사학교 (내가 역사다!),,1,,,
보류,Y26-120,현수막 경주역사기행 (법륜스님과 함께하는 청년 경주역사기행),,2,7,active,한 행에 여러 물품 — 분리 후 반영,행분리필요(이름에 여러 줄),역사기행,정토회관,"현수막 경주역사기행 
(법륜스님과 함께하는 청년 경주역사기행)",,2,,,
O,Y26-121,현수막 광주역사기행 (광주 5.18 역사기행),,1,7,active,,,역사기행,정토회관,현수막 광주역사기행 (광주 5.18 역사기행),,1,,,
O,Y26-122,현수막 청춘역사톡톡 (내가 역사다!),,1,7,active,,,역사기행,정토회관,현수막 청춘역사톡톡 (내가 역사다!),,1,,,
보류,Y26-123,현수막 청춘역사톡톡 (법륜스님과 함께하는 청춘역사톡톡),,1,7,active,한 행에 여러 물품 — 분리 후 반영,행분리필요(이름에 여러 줄),역사기행,정토회관,"현수막 청춘역사톡톡 
(법륜스님과 함께하는 청춘역사톡톡)",,1,,,
O,Y26-124,비접촉온도계,,1,7,active,,,의료보건,정토회관,비접촉온도계,,1,,,
O,Y26-125,일회용 마스크,,6,7,active,,,의료보건,정토회관,일회용 마스크,,6,,,
O,Y26-126,상비약,,1,7,active,,,의료보건,정토회관,상비약,,1,,,
보류,Y26-127,생리대,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,의료보건,정토회관,생리대,,,,,
O,Y26-128,릴선,,1,7,active,,,전자기기 등,정토회관,릴선,,1,,,
O,Y26-129,HDMI to VGA 컨버터,,1,7,active,,,전자기기 등,정토회관,HDMI to VGA 컨버터,,1,,,
O,Y26-130,기가폰(강의용 마이크&스피커),,3,7,active,,,전자기기 등,정토회관,기가폰(강의용 마이크&스피커),,3,,,
O,Y26-131,노트북,,1,7,active,,,전자기기 등,정토회관,노트북,,1,,,
O,Y26-132,기가폰,,1,7,active,,,전자기기 등,정토회관,기가폰,,1,,,
O,Y26-133,"스피커(마이크 유선1개/무선 1개,리모컨,건전지,어뎁터)",,1,7,active,,옵션혼합(수량 안분 확인),전자기기 등,정토회관,"스피커(마이크 유선1개/무선 1개,리모컨,건전지,어뎁터)",,1,,,
보류,Y26-134,멀티탭,,,7,active,수량 미확정 — total_qty 확정 후 반영,"이름중복, 수량미확정",전자기기 등,정토회관,멀티탭,,,,,
O,Y26-135,라벨기,,1,7,active,,,전자기기 등,정토회관,라벨기,,1,,,
O,Y26-136,PPT 프로젝터 포인터,,3,7,active,,,청년행사,정토회관,PPT 프로젝터 포인터,,3,,,
보류,Y26-137,목걸이형 명찰,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,청년행사,정토회관,목걸이형 명찰,,,,,
O,Y26-138,돗자리 ( 小-1인용 / 中-단체용 ),,5,7,active,,옵션혼합(수량 안분 확인),청년행사,정토회관,돗자리 ( 小-1인용 / 中-단체용 ),,4 / 1,,,
O,Y26-139,접이식 의자,,1,7,active,,,청년행사,정토회관,접이식 의자,,1,,,
O,Y26-140,폴라로이드 카메라,,1,7,active,,,청년행사,정토회관,폴라로이드 카메라,,1,,,
O,Y26-141,감정카드,,2,7,active,,,청년행사,정토회관,감정카드,,2,,,
O,Y26-142,탁구채,,2,7,active,,,청년행사,정토회관,탁구채,,2,,,
보류,Y26-143,접이식 라바콘,,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,청년행사,정토회관,접이식 라바콘,,,,,
보류,Y26-144,줄다리기 줄 (규격 10M),규격: 10M,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,청년행사,정토회관,줄다리기 줄,10M,,,,
보류,Y26-145,테이블 보자기 ( 88 * 380 ) 테이블 보자기 ( 210 * 260 ) 테이블 보자기 ( 420 * 200 ),,,7,active,수량 미확정 — total_qty 확정 후 반영,"행분리필요(이름에 여러 줄), 수량미확정, 변형별수량(총계불명)",청년행사,정토회관,"테이블 보자기 ( 88 * 380 )
테이블 보자기 ( 210 * 260 )
테이블 보자기 ( 420 * 200 )",,각 1개,,,
보류,Y26-146,"나무쟁반, 락앤락 등",,,7,active,수량 미확정 — total_qty 확정 후 반영,수량미확정,청년행사,정토회관,"나무쟁반, 락앤락 등",,,,,
O,Y26-147,스님용 방석,,1,7,active,,,청년행사,정토회관,스님용 방석,,1,,,
O,Y26-148,"굿프렌즈 조끼 ( 먹색, XL / 2XL / 3XL )",,9,7,active,,옵션혼합(수량 안분 확인),청년행사,정토회관,"굿프렌즈 조끼 ( 먹색, XL / 2XL / 3XL )",,5 / 3 / 1,,,
O,Y26-149,"정토회 조끼 (카키색, L / XL / 2XL)",,21,7,active,,옵션혼합(수량 안분 확인),청년행사,정토회관,"정토회 조끼 (카키색, L / XL / 2XL)",,14 / 6 / 1,,,
O,Y26-150,하루온 팩,,1,7,active,,,청년행사,정토회관,하루온 팩,,1,,,
O,Y26-151,깃대봉 / 숫자판,,43,7,active,,옵션혼합(수량 안분 확인),청년행사,정토회관,깃대봉 / 숫자판,,6 / 37,,,
O,Y26-152,현수막 경전대학 실천활동 (청년 경전대학 실천활동),,1,7,active,,,행자원/불대/경전대,정토회관,현수막 경전대학 실천활동 (청년 경전대학 실천활동),,1,,,
O,Y26-153,현수막 불교대학 실천활동 (청년 불교대학 실천활동),,1,7,active,,,행자원/불대/경전대,정토회관,현수막 불교대학 실천활동 (청년 불교대학 실천활동),,1,,,
